case,t_left,t_right,certified_lambda_max_upper,candidate_phi_U_sq_upper
G,,,9/4,9/4
1,-1061/512,-15915/8192,9833/1024,23390153/4194304
2,-15915/8192,-7427/4096,9291/1024,186246783/33554432
3,-7427/4096,-13793/8192,4375/512,184279389/33554432
4,-13793/8192,-3183/2048,4105/512,90609521/16777216
5,-3183/2048,-11671/8192,959/128,88549255/16777216
6,-11671/8192,-5305/4096,223/32,171917793/33554432
7,-5305/4096,-9549/8192,6603/1024,165709659/33554432
8,-9549/8192,-1061/1024,6073/1024,39618527/8388608
9,-1061/1024,-7427/8192,1387/256,37569169/8388608
10,-7427/8192,-3183/4096,5029/1024,141150131/33554432
11,-3183/4096,-5305/8192,4519/1024,131192777/33554432
12,-5305/8192,-1061/2048,4023/1024,60284227/16777216
13,-1061/2048,-3183/8192,887/256,54753269/16777216
14,-3183/8192,-1061/4096,3107/1024,98433013/33554432
15,-1061/4096,-1061/8192,2719/1024,87970471/33554432
16,-1061/8192,0,2415/1024,2415/1024
